Time;Life;Prolific;Charming;Fear;Defence;Curious;Speed;Canibal;Sensibility;People
Sun Nov 19 22:38:10 CET 2006;9.741936;10.258064;9.806452;8.350806;10.362904;11.564516;10.2338705;10.903226;8.225806;62.0
Sun Nov 19 22:38:20 CET 2006;10.623377;10.779221;10.214286;8.696428;10.564935;12.616883;10.967532;10.88961;8.662337;77.0
Sun Nov 19 22:38:30 CET 2006;12.078125;11.859375;10.5703125;9.736328;11.6484375;13.546875;12.214844;12.035156;9.5625;64.0
Sun Nov 19 22:38:40 CET 2006;13.307432;12.743243;11.226352;10.028716;12.364865;14.744932;13.472973;12.685811;10.861486;74.0
Sun Nov 19 22:38:50 CET 2006;14.932836;13.947762;12.429105;10.764925;13.320895;15.26306;14.664179;12.925373;10.914179;67.0
Sun Nov 19 22:39:00 CET 2006;18.221312;15.245902;15.030738;12.155738;14.598361;16.933401;16.09836;14.622951;13.602459;61.0
Sun Nov 19 22:39:10 CET 2006;19.591911;16.257353;16.485294;13.726103;16.001839;18.28125;16.904411;15.7720585;15.283089;68.0
Sun Nov 19 22:39:20 CET 2006;20.427536;17.297102;17.155798;14.717391;16.815218;19.209692;17.615942;16.625;16.217392;69.0
Sun Nov 19 22:39:30 CET 2006;21.51087;17.80616;18.115942;15.65942;17.407608;20.023098;18.289856;17.490942;18.050724;69.0
Sun Nov 19 22:39:40 CET 2006;21.922728;18.793182;18.918182;16.643183;17.998863;20.615341;18.168182;18.097727;19.375;55.0
Sun Nov 19 22:39:50 CET 2006;22.644466;19.188524;19.266394;17.112705;19.094263;21.146517;18.557377;18.39959;20.514345;61.0
Sun Nov 19 22:40:00 CET 2006;22.594866;19.66741;19.379465;17.879465;19.31808;21.594866;18.736607;19.01116;20.095982;56.0
Sun Nov 19 22:40:10 CET 2006;23.336864;19.868645;20.114407;18.03178;19.736229;21.766949;18.87288;18.914194;20.516949;59.0
Sun Nov 19 22:40:20 CET 2006;23.348959;20.527082;20.670834;18.30625;20.242188;22.179688;19.575;18.921875;21.760416;60.0
Sun Nov 19 22:40:30 CET 2006;24.429564;20.854166;21.771826;18.855158;21.114088;22.452381;20.059525;19.021826;22.182539;63.0
Sun Nov 19 22:40:40 CET 2006;24.88587;21.087862;22.095108;19.657608;21.734602;23.052536;20.634058;19.903986;22.811594;69.0
Sun Nov 19 22:40:50 CET 2006;25.50293;21.680176;23.13379;19.789062;22.348389;23.835938;21.230469;20.319336;23.273438;64.0
Sun Nov 19 22:41:01 CET 2006;25.353718;22.010777;24.053879;20.31627;22.47387;24.879848;21.710129;21.44585;23.965517;58.0
